LocationID,zone,borough,longitude,latitude
184,Pelham Bay Park,Bronx,-73.80785726631287,40.86827620354778
185,Pelham Parkway,Bronx,-73.85439380221176,40.85440471268922
186,Penn Station/Madison Sq West,Manhattan,-73.99243753697608,40.748497181405
187,Port Richmond,Staten Island,-74.14078750231764,40.62816687457197
188,Prospect-Lefferts Gardens,Brooklyn,-73.94744164500473,40.658744450856695
189,Prospect Heights,Brooklyn,-73.96758681222951,40.67763538934727
190,Prospect Park,Brooklyn,-73.96891374270628,40.661622158356835
191,Queens Village,Queens,-73.74153176997542,40.71545451530522
192,Queensboro Hill,Queens,-73.81522935845769,40.74375148543155
193,Queensbridge/Ravenswood,Queens,-73.94199705818421,40.760313635026975
194,Randalls Island,Manhattan,-73.92459630024574,40.79100078171128
195,Red Hook,Brooklyn,-74.00917849113303,40.675548862280905
196,Rego Park,Queens,-73.86333855806275,40.72615563957924
197,Richmond Hill,Queens,-73.83092407449995,40.69454235438129
198,Ridgewood,Queens,-73.90170926444726,40.70652679441957
199,Rikers Island,Bronx,-73.88265824700592,40.79113290307748
200,Riverdale/North Riverdale/Fieldston,Bronx,-73.90698710771419,40.89952906437648
201,Rockaway Park,Queens,-73.84345281477813,40.57798249377509
202,Roosevelt Island,Manhattan,-73.94995171169582,40.76189974995506
203,Rosedale,Queens,-73.73947255987295,40.6578534180194
204,Rossville/Woodrow,Staten Island,-74.20782608356564,40.540334005296096
205,Saint Albans,Queens,-73.76314612543841,40.691201446806126
206,Saint George/New Brighton,Staten Island,-74.10231250352733,40.63897220516649
207,Saint Michaels Cemetery/Woodside,Queens,-73.8993525643454,40.76398558883055
208,Schuylerville/Edgewater Park,Bronx,-73.82354011891952,40.82331858387752
209,Seaport,Manhattan,-74.00366456329897,40.7090727427931
210,Sheepshead Bay,Brooklyn,-73.94050716694062,40.592023464364296
211,SoHo,Manhattan,-74.00153756565634,40.72388811004171
212,Soundview/Bruckner,Bronx,-73.86967965711676,40.82790214858741
213,Soundview/Castle Hill,Bronx,-73.85813498781431,40.81785855770814
214,South Beach/Dongan Hills,Staten Island,-74.08551235826918,40.586786633051915
215,South Jamaica,Queens,-73.79096393223053,40.69442755408876
216,South Ozone Park,Queens,-73.81945963682762,40.67615403721378
217,South Williamsburg,Brooklyn,-73.9585968450717,40.703916440465754
218,Springfield Gardens North,Queens,-73.77303565610492,40.67208970676732
219,Springfield Gardens South,Queens,-73.76450578558229,40.66218488071141
220,Spuyten Duyvil/Kingsbridge,Bronx,-73.91066467564433,40.88240311320921
221,Stapleton,Staten Island,-74.07370444530252,40.61876927873207
222,Starrett City,Brooklyn,-73.88241292571809,40.64752703432357
223,Steinway,Queens,-73.90540773409828,40.77742692053278
224,Stuy Town/Peter Cooper Village,Manhattan,-73.97659767323343,40.73182063601676
225,Stuyvesant Heights,Brooklyn,-73.93188826440709,40.688168186954954
226,Sunnyside,Queens,-73.92467306585047,40.73769895644442
227,Sunset Park East,Brooklyn,-74.00465205914723,40.64188631576522
228,Sunset Park West,Brooklyn,-74.01127116962884,40.65235464953841
229,Sutton Place/Turtle Bay North,Manhattan,-73.96514579918421,40.75672894163307
230,Times Sq/Theatre District,Manhattan,-73.9841964890757,40.75981761719185
231,TriBeCa/Civic Center,Manhattan,-74.00787970866403,40.717772736265175
232,Two Bridges/Seward Park,Manhattan,-73.98302455833488,40.7147325069394
233,UN/Turtle Bay South,Manhattan,-73.97044256869236,40.74991407790216
234,Union Sq,Manhattan,-73.99045782354732,40.74033744175701
235,University Heights/Morris Heights,Bronx,-73.91597542466435,40.8525211492635
236,Upper East Side North,Manhattan,-73.95701169835739,40.78043643718997
237,Upper East Side South,Manhattan,-73.96563453538072,40.76861518381155
238,Upper West Side North,Manhattan,-73.97304890061595,40.79170493442709
239,Upper West Side South,Manhattan,-73.97863194845081,40.783961430313774
240,Van Cortlandt Park,Bronx,-73.88197807761944,40.894599127507
241,Van Cortlandt Village,Bronx,-73.89562001785477,40.876512375445536
242,Van Nest/Morris Park,Bronx,-73.85067057708342,40.8467828958098
243,Washington Heights North,Manhattan,-73.93283148761297,40.85710828331443
244,Washington Heights South,Manhattan,-73.94139910573641,40.84170877111978
245,West Brighton,Staten Island,-74.10286011016638,40.630049391830696
246,West Chelsea/Hudson Yards,Manhattan,-74.00401512528649,40.75330906598335
247,West Concourse,Bronx,-73.92440873264252,40.828988230484576
248,West Farms/Bronx River,Bronx,-73.87228927297001,40.83416531682759
249,West Village,Manhattan,-74.00287495910837,40.73457600733177
250,Westchester Village/Unionport,Bronx,-73.84864070062379,40.83210165963213
251,Westerleigh,Staten Island,-74.12534779829359,40.61688000771182
252,Whitestone,Queens,-73.81565681271003,40.78819301672865
253,Willets Point,Queens,-73.84124393899134,40.76063075217261
254,Williamsbridge/Olinville,Bronx,-73.8589482397575,40.88215708304705
255,Williamsburg (North Side),Brooklyn,-73.95741813122189,40.718803918129915
256,Williamsburg (South Side),Brooklyn,-73.95990462730532,40.710879933377385
257,Windsor Terrace,Brooklyn,-73.97798241330011,40.65361187133663
258,Woodhaven,Queens,-73.85576675985418,40.68872135698129
259,Woodlawn/Wakefield,Bronx,-73.8522154537012,40.897932025294686
260,Woodside,Queens,-73.9063064419788,40.74423471780148
261,World Trade Center,Manhattan,-74.01302277174902,40.70913894067186
262,Yorkville East,Manhattan,-73.94651035601464,40.77593240314994
263,Yorkville West,Manhattan,-73.951009874818,40.77876585543437
